epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8516,2.03803,2.53595,1.52649,0.90849,0.34722,0.66355,0.30057,1.80185,2.31557,1.50552,0.000659341,0.000659341,0.000659341
2,31.8076,1.82337,1.47546,1.3734,0.83314,0.80278,0.84265,0.41529,1.61466,1.29445,1.33148,0.00129975,0.00129975,0.00129975
3,46.0715,1.78779,1.31228,1.34563,0.77035,0.79722,0.82951,0.42544,1.60859,1.29743,1.33454,0.00191376,0.00191376,0.00191376
4,61.7793,1.75736,1.22242,1.32902,0.84785,0.81944,0.86229,0.44148,1.64576,1.10659,1.31485,0.0018812,0.0018812,0.0018812
5,76.6362,1.75447,1.14749,1.32389,0.88185,0.86389,0.9181,0.4931,1.58853,0.94786,1.33526,0.0018416,0.0018416,0.0018416
6,91.637,1.70983,1.06078,1.30169,0.90291,0.82669,0.91189,0.49736,1.58817,0.88722,1.33179,0.001802,0.001802,0.001802
7,106.33,1.69484,1.02489,1.29386,0.87775,0.83765,0.91806,0.48036,1.62572,0.95315,1.37239,0.0017624,0.0017624,0.0017624
8,121.295,1.72153,1.00005,1.31765,0.8685,0.78888,0.89332,0.45444,1.708,0.9518,1.38154,0.0017228,0.0017228,0.0017228
9,136.419,1.67974,0.96658,1.29823,0.90966,0.88056,0.94475,0.51705,1.55772,0.79541,1.31389,0.0016832,0.0016832,0.0016832
10,151.897,1.6637,0.93189,1.28452,0.88021,0.89811,0.94619,0.5107,1.56354,0.86675,1.31904,0.0016436,0.0016436,0.0016436
11,166.405,1.66349,0.9274,1.30289,0.87403,0.825,0.90204,0.46238,1.66112,0.9504,1.37352,0.001604,0.001604,0.001604
12,180.554,1.68441,0.90908,1.28894,0.89707,0.82309,0.90596,0.47551,1.65988,0.8139,1.38202,0.0015644,0.0015644,0.0015644
13,194.628,1.67178,0.89893,1.28362,0.83456,0.85476,0.89857,0.47832,1.64164,0.8804,1.34878,0.0015248,0.0015248,0.0015248
14,209.939,1.67056,0.88712,1.29226,0.89661,0.87222,0.93151,0.52205,1.57522,0.77329,1.30679,0.0014852,0.0014852,0.0014852
15,224.594,1.641,0.86953,1.26831,0.87046,0.85556,0.90173,0.47648,1.61983,0.91973,1.34529,0.0014456,0.0014456,0.0014456
16,239.2,1.62563,0.85123,1.26986,0.89251,0.88056,0.93616,0.51705,1.56403,0.7441,1.31682,0.001406,0.001406,0.001406
17,253.491,1.64225,0.85319,1.26167,0.89861,0.85556,0.9118,0.51377,1.52426,0.79211,1.28898,0.0013664,0.0013664,0.0013664
18,267.993,1.63843,0.8514,1.25636,0.90914,0.83381,0.93308,0.51062,1.59177,0.75971,1.32452,0.0013268,0.0013268,0.0013268
19,282.383,1.63157,0.82815,1.26827,0.90508,0.89722,0.95173,0.52585,1.54187,0.74238,1.30992,0.0012872,0.0012872,0.0012872
20,296.471,1.62791,0.81497,1.25959,0.90772,0.87439,0.93051,0.50546,1.58793,0.76291,1.33523,0.0012476,0.0012476,0.0012476
21,310.528,1.60602,0.81077,1.2572,0.92412,0.84573,0.93064,0.50374,1.59032,0.77939,1.3296,0.001208,0.001208,0.001208
22,325.125,1.58475,0.78602,1.24913,0.90628,0.84167,0.92912,0.51943,1.5562,0.76159,1.3243,0.0011684,0.0011684,0.0011684
23,338.727,1.59876,0.78984,1.26045,0.86976,0.90833,0.92953,0.51495,1.57635,0.72862,1.33724,0.0011288,0.0011288,0.0011288
24,352.426,1.57202,0.78425,1.23667,0.93925,0.86667,0.93658,0.51574,1.59109,0.70461,1.33324,0.0010892,0.0010892,0.0010892
25,365.957,1.57672,0.78442,1.24021,0.85238,0.80199,0.86683,0.43504,1.74626,0.86152,1.41009,0.0010496,0.0010496,0.0010496
26,379.509,1.60142,0.77853,1.24916,0.90033,0.9033,0.94011,0.51361,1.59113,0.72105,1.33328,0.00101,0.00101,0.00101
27,393.146,1.58085,0.77312,1.25042,0.88412,0.91131,0.94319,0.51758,1.57613,0.72856,1.32013,0.0009704,0.0009704,0.0009704
28,406.837,1.56488,0.77674,1.23909,0.88206,0.90278,0.93748,0.49994,1.64205,0.81202,1.36132,0.0009308,0.0009308,0.0009308
29,420.468,1.5639,0.75147,1.242,0.88252,0.91813,0.94517,0.51705,1.58418,0.72136,1.32916,0.0008912,0.0008912,0.0008912
30,434.009,1.56302,0.75469,1.24584,0.90699,0.88056,0.94478,0.51213,1.60155,0.73513,1.3404,0.0008516,0.0008516,0.0008516
31,447.564,1.55044,0.74247,1.23358,0.89179,0.91667,0.94711,0.51755,1.59239,0.69822,1.33015,0.000812,0.000812,0.000812
32,461.432,1.53264,0.72616,1.23323,0.89897,0.87222,0.92539,0.49351,1.62346,0.73905,1.36026,0.0007724,0.0007724,0.0007724
33,475.238,1.53133,0.72043,1.21271,0.89165,0.88056,0.93973,0.50405,1.64727,0.74321,1.36108,0.0007328,0.0007328,0.0007328
34,488.816,1.53939,0.72803,1.22266,0.88579,0.89167,0.93276,0.51417,1.60006,0.73733,1.3375,0.0006932,0.0006932,0.0006932
35,502.82,1.51747,0.71597,1.21611,0.89848,0.90964,0.94204,0.52131,1.59063,0.7067,1.33517,0.0006536,0.0006536,0.0006536
36,516.776,1.51521,0.70748,1.19447,0.88136,0.90795,0.94384,0.5215,1.59723,0.6896,1.33412,0.000614,0.000614,0.000614
37,530.597,1.49546,0.69847,1.2182,0.89417,0.84488,0.93411,0.51391,1.62355,0.73062,1.35397,0.0005744,0.0005744,0.0005744
38,544.338,1.49133,0.69059,1.20315,0.91778,0.88611,0.94236,0.51983,1.58163,0.7052,1.3422,0.0005348,0.0005348,0.0005348
39,557.934,1.46473,0.68869,1.1991,0.90492,0.8989,0.94888,0.52358,1.60386,0.70019,1.35031,0.0004952,0.0004952,0.0004952
